# Wavelength (A)     Intensity in channel 1     Intensity in channel 2     Intensity in channel 3
815.022775     120.359000     85.410300     83.923100
820.541775     124.923000     86.948700     83.769200
826.060775     131.333000     91.846200     86.794900
831.579775     128.103000     90.051300     87.487200
837.098775     124.462000     87.846200     89.051300
842.617775     123.821000     86.000000     90.384600
848.136775     126.077000     84.512800     89.794900
853.655775     128.410000     83.282100     88.846200
859.174775     127.821000     83.589700     87.230800
864.693775     130.128000     84.410300     87.589700
870.212775     130.385000     85.435900     89.461500
875.731775     130.590000     85.666700     88.179500
881.250775     126.795000     85.564100     87.307700
886.769775     122.538000     87.641000     88.359000
892.288775     118.513000     87.846200     88.000000
897.807775     115.974000     86.051300     88.076900
903.326775     115.385000     85.743600     89.564100
908.845775     118.513000     87.153800     91.666700
914.364775     120.308000     87.948700     91.128200
919.883775     121.590000     88.820500     90.000000
925.402775     119.692000     86.666700     88.461500
930.921775     121.154000     87.948700     90.589700
936.440775     120.974000     88.589700     91.538500
941.959775     123.949000     89.307700     93.794900
947.478775     120.923000     87.564100     93.871800
952.997775     115.821000     85.871800     92.333300
958.516775     115.308000     85.000000     90.538500
964.035775     117.487000     84.717900     88.717900
969.554775     118.462000     82.820500     86.794900
975.073775     125.410000     87.717900     92.230800
980.592775     126.051000     88.974400     93.179500
986.111775     125.385000     88.230800     93.846200
991.630775     122.359000     87.974400     94.205100
997.149775     124.641000     88.461500     95.256400
1002.668775     124.026000     85.769200     94.179500
1008.187775     126.487000     86.794900     91.820500
1013.706775     127.359000     89.025600     89.307700
1019.225775     126.923000     90.333300     87.871800
1024.744775     124.513000     89.769200     83.846200
1030.263775     122.590000     87.102600     81.512800
1035.782775     124.692000     87.179500     83.923100
1041.301775     128.436000     87.948700     86.717900
1046.820775     127.641000     88.282100     87.102600
1052.339775     126.692000     88.769200     86.384600
1057.858775     126.769000     89.589700     89.512800
1063.377775     124.385000     90.256400     91.051300
1068.896775     123.821000     90.589700     93.051300
1074.415775     122.077000     87.974400     89.179500
1079.934775     122.923000     87.384600     87.923100
1085.453775     128.282000     88.384600     88.076900
1090.972775     130.821000     85.384600     86.897400
1096.491775     136.333000     89.359000     89.461500
1102.010775     134.846000     89.923100     89.948700
1107.529775     132.744000     89.410300     89.743600
1113.048775     129.436000     88.846200     89.384600
1118.567775     124.923000     87.333300     87.461500
1124.086775     122.487000     86.820500     87.538500
1129.605775     126.590000     88.923100     88.666700
1135.124775     129.462000     89.076900     87.230800
1140.643775     130.179000     88.846200     87.051300
1146.162775     128.513000     89.948700     87.153800
1151.681775     128.564000     90.051300     88.589700
1157.200775     128.590000     88.769200     88.333300
1162.719775     130.077000     89.153800     88.102600
1168.238775     130.359000     89.102600     86.641000
1173.757775     132.385000     89.461500     89.051300
1179.276775     131.590000     88.948700     89.282100
1184.795775     132.487000     90.282100     91.153800
1190.314775     127.795000     87.051300     91.102600
1195.833775     121.615000     84.435900     89.384600
1201.352775     118.231000     85.923100     89.256400
1206.871775     120.359000     89.179500     92.076900
1212.390775     121.769000     89.487200     94.564100
1217.909775     123.667000     90.871800     94.359000
1223.428775     125.359000     92.282100     92.051300
1228.947775     123.359000     88.615400     86.076900
1234.466775     127.179000     90.794900     87.948700
1239.985775     132.744000     93.820500     93.025600
1245.504775     128.590000     90.333300     93.000000
1251.023775     124.872000     86.564100     89.230800
1256.542775     125.513000     87.000000     88.128200
1262.061775     129.821000     89.410300     90.564100
1267.580775     128.667000     89.435900     92.769200
1273.099775     127.487000     88.948700     93.153800
1278.618775     127.744000     89.692300     93.974400
1284.137775     125.949000     88.384600     90.974400
1289.656775     123.538000     84.923100     88.410300
1295.175775     122.564000     84.871800     88.435900
1300.694775     124.949000     86.410300     87.871800
1306.213775     131.231000     90.282100     89.589700
1311.732775     132.205000     90.333300     87.564100
1317.251775     133.333000     90.025600     84.794900
1322.770775     131.051000     89.153800     85.692300
1328.289775     129.769000     86.025600     83.307700
1333.808775     127.615000     83.538500     81.974400
1339.327775     128.692000     84.615400     85.025600
1344.846775     128.179000     86.179500     87.641000
1350.365775     123.282000     85.410300     87.000000
1355.884775     122.513000     86.025600     87.179500
1361.403775     124.846000     87.846200     86.794900
1366.922775     125.436000     87.641000     82.846200
1372.441775     129.051000     87.512800     81.333300
1377.960775     129.333000     88.666700     80.974400
1383.479775     125.769000     86.051300     80.794900
1388.998775     124.462000     86.128200     83.897400
1394.517775     124.795000     88.615400     86.000000
1400.036775     124.231000     89.435900     85.538500
1405.555775     126.718000     89.102600     84.384600
1411.074775     131.051000     88.846200     85.359000
1416.593775     132.667000     89.871800     86.897400
1422.112775     127.487000     87.179500     85.102600
1427.631775     125.103000     85.717900     84.641000
1433.150775     129.128000     86.743600     87.205100
1438.669775     133.692000     90.256400     89.051300
1444.188775     132.795000     90.230800     88.820500
1449.707775     129.154000     88.461500     87.589700
1455.226775     127.385000     88.564100     88.307700
1460.745775     124.974000     86.384600     85.359000
1466.264775     127.000000     86.871800     85.820500
1471.783775     131.205000     89.179500     89.205100
1477.302775     131.051000     88.615400     87.846200
1482.821775     129.564000     88.461500     86.487200
1488.340775     131.487000     88.025600     85.820500
1493.859775     132.308000     87.179500     85.256400
1499.378775     130.974000     86.359000     85.564100
1504.897775     131.179000     88.974400     86.205100
1510.416775     129.205000     89.025600     85.025600
1515.935775     126.410000     86.794900     86.051300
1521.454775     126.872000     86.948700     88.000000
1526.973775     128.026000     87.359000     88.743600
1532.492775     126.410000     89.410300     91.538500
1538.011775     127.256000     91.256400     92.461500
1543.530775     124.923000     87.615400     89.512800
1549.049775     125.282000     86.564100     85.769200
1554.568775     124.718000     86.230800     85.666700
1560.087775     125.077000     89.794900     90.897400
1565.606775     121.744000     90.102600     91.282100
1571.125775     119.641000     91.512800     88.769200
1576.644775     119.103000     89.256400     86.794900
1582.163775     118.846000     89.282100     88.256400
1587.682775     118.256000     89.717900     89.897400
1593.201775     120.923000     89.794900     89.846200
1598.720775     124.744000     91.923100     91.846200
1604.239775     124.436000     91.461500     90.512800
1609.758775     119.154000     87.615400     84.076900
1615.277775     122.308000     88.794900     85.897400
1620.796775     127.692000     89.769200     88.589700
1626.315775     126.718000     87.692300     87.179500
1631.834775     126.385000     89.333300     85.820500
1637.353775     131.385000     92.717900     86.538500
1642.872775     129.436000     93.128200     85.717900
1648.391775     126.462000     92.717900     85.769200
1653.910775     122.795000     91.794900     86.871800
1659.429775     123.949000     91.538500     87.307700
1664.948775     124.974000     89.897400     87.051300
1670.467775     127.590000     88.743600     88.769200
1675.986775     126.103000     87.333300     91.000000
1681.505775     122.615000     88.076900     93.589700
1687.024775     116.256000     85.948700     92.102600
1692.543775     115.795000     86.256400     88.974400
1698.062775     120.256000     89.666700     88.282100
1703.581775     124.308000     90.794900     89.179500
1709.100775     129.051000     91.717900     93.615400
1714.619775     125.410000     89.487200     93.871800
1720.138775     117.538000     84.948700     89.512800
1725.657775     120.179000     87.487200     89.307700
1731.176775     120.410000     87.923100     88.384600
1736.695775     121.487000     87.615400     88.666700
1742.214775     121.436000     86.564100     88.666700
1747.733775     123.949000     87.717900     90.025600
1753.252775     125.872000     88.564100     87.948700
1758.771775     129.615000     90.538500     88.871800
1764.290775     130.615000     91.359000     90.820500
1769.809775     126.769000     89.974400     90.769200
1775.328775     121.795000     87.717900     89.282100
1780.847775     119.590000     88.717900     88.589700
1786.366775     121.359000     90.641000     89.410300
1791.885775     122.410000     90.461500     86.307700
1797.404775     122.821000     89.333300     83.076900
